id	entity	target	Tweet content
1	user1	positive	What a beautiful day! Feeling grateful.
2	user2	negative	This is so stupid! Why do people act like this?
3	user3	neutral	I'm just here for the updates.
4	user4	positive	What a beautiful day! Feeling grateful.
5	user5	negative	This is so stupid! Why do people act like this?
6	user6	neutral	I'm just here for the updates.
7	user7	positive	What a beautiful day! Feeling grateful.
8	user8	negative	This is so stupid! Why do people act like this?
9	user9	neutral	I'm just here for the updates.
10	user10	positive	What a beautiful day! Feeling grateful.
11	user11	negative	This is so stupid! Why do people act like this?
12	user12	neutral	I'm just here for the updates.
13	user13	positive	What a beautiful day! Feeling grateful.
14	user14	negative	This is so stupid! Why do people act like this?
15	user15	neutral	I'm just here for the updates.
16	user16	positive	What a beautiful day! Feeling grateful.
17	user17	negative	This is so stupid! Why do people act like this?
18	user18	neutral	I'm just here for the updates.
19	user19	positive	What a beautiful day! Feeling grateful.
20	user20	negative	This is so stupid! Why do people act like this?
21	user21	neutral	I'm just here for the updates.
22	user22	positive	What a beautiful day! Feeling grateful.
23	user23	negative	This is so stupid! Why do people act like this?
24	user24	neutral	I'm just here for the updates.
25	user25	positive	What a beautiful day! Feeling grateful.
26	user26	negative	This is so stupid! Why do people act like this?
27	user27	neutral	I'm just here for the updates.
28	user28	positive	What a beautiful day! Feeling grateful.
29	user29	negative	This is so stupid! Why do people act like this?
30	user30	neutral	I'm just here for the updates.
31	user31	positive	What a beautiful day! Feeling grateful.
32	user32	negative	This is so stupid! Why do people act like this?
33	user33	neutral	I'm just here for the updates.
34	user34	positive	What a beautiful day! Feeling grateful.
35	user35	negative	This is so stupid! Why do people act like this?
36	user36	neutral	I'm just here for the updates.
37	user37	positive	What a beautiful day! Feeling grateful.
38	user38	negative	This is so stupid! Why do people act like this?
39	user39	neutral	I'm just here for the updates.
40	user40	positive	What a beautiful day! Feeling grateful.
41	user41	negative	This is so stupid! Why do people act like this?
42	user42	neutral	I'm just here for the updates.
43	user43	positive	What a beautiful day! Feeling grateful.
44	user44	negative	This is so stupid! Why do people act like this?
45	user45	neutral	I'm just here for the updates.
46	user46	positive	What a beautiful day! Feeling grateful.
47	user47	negative	This is so stupid! Why do people act like this?
48	user48	neutral	I'm just here for the updates.
49	user49	positive	What a beautiful day! Feeling grateful.
50	user50	negative	This is so stupid! Why do people act like this?
51	user51	neutral	I'm just here for the updates.
52	user52	positive	What a beautiful day! Feeling grateful.
53	user53	negative	This is so stupid! Why do people act like this?
54	user54	neutral	I'm just here for the updates.
55	user55	positive	What a beautiful day! Feeling grateful.
56	user56	negative	This is so stupid! Why do people act like this?
57	user57	neutral	I'm just here for the updates.
58	user58	positive	What a beautiful day! Feeling grateful.
59	user59	negative	This is so stupid! Why do people act like this?
60	user60	neutral	I'm just here for the updates.
61	user61	positive	What a beautiful day! Feeling grateful.
62	user62	negative	This is so stupid! Why do people act like this?
63	user63	neutral	I'm just here for the updates.
64	user64	positive	What a beautiful day! Feeling grateful.
65	user65	negative	This is so stupid! Why do people act like this?
66	user66	neutral	I'm just here for the updates.
67	user67	positive	What a beautiful day! Feeling grateful.
68	user68	negative	This is so stupid! Why do people act like this?
69	user69	neutral	I'm just here for the updates.
70	user70	positive	What a beautiful day! Feeling grateful.
71	user71	negative	This is so stupid! Why do people act like this?
72	user72	neutral	I'm just here for the updates.
73	user73	positive	What a beautiful day! Feeling grateful.
74	user74	negative	This is so stupid! Why do people act like this?
75	user75	neutral	I'm just here for the updates.
76	user76	positive	What a beautiful day! Feeling grateful.
77	user77	negative	This is so stupid! Why do people act like this?
78	user78	neutral	I'm just here for the updates.
79	user79	positive	What a beautiful day! Feeling grateful.
80	user80	negative	This is so stupid! Why do people act like this?
81	user81	neutral	I'm just here for the updates.
82	user82	positive	What a beautiful day! Feeling grateful.
83	user83	negative	This is so stupid! Why do people act like this?
84	user84	neutral	I'm just here for the updates.
85	user85	positive	What a beautiful day! Feeling grateful.
86	user86	negative	This is so stupid! Why do people act like this?
87	user87	neutral	I'm just here for the updates.
88	user88	positive	What a beautiful day! Feeling grateful.
89	user89	negative	This is so stupid! Why do people act like this?
90	user90	neutral	I'm just here for the updates.
91	user91	positive	What a beautiful day! Feeling grateful.
92	user92	negative	This is so stupid! Why do people act like this?
93	user93	neutral	I'm just here for the updates.
94	user94	positive	What a beautiful day! Feeling grateful.
95	user95	negative	This is so stupid! Why do people act like this?
96	user96	neutral	I'm just here for the updates.
97	user97	positive	What a beautiful day! Feeling grateful.
98	user98	negative	This is so stupid! Why do people act like this?
99	user99	neutral	I'm just here for the updates.
100	user100	positive	What a beautiful day! Feeling grateful.
